epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,203.072,0.56727,1.32154,0.9202,0.86507,1,0.995,0.7945,0.71167,0.8313,1.00892,0.000109,0.000109,0.000109
92,206.042,0.59592,1.31648,0.9568,0.8703,1,0.995,0.81667,0.72141,0.81338,1.00839,9.91e-05,9.91e-05,9.91e-05
93,209.321,0.56827,1.18121,0.91186,0.86874,1,0.995,0.82763,0.72025,0.81728,1.00551,8.92e-05,8.92e-05,8.92e-05
94,212.076,0.52221,1.19481,0.89994,0.8555,1,0.995,0.83501,0.69854,0.80481,0.99766,7.93e-05,7.93e-05,7.93e-05
95,215.05,0.52469,1.16584,0.91985,0.85517,1,0.995,0.84064,0.66996,0.78613,0.99121,6.94e-05,6.94e-05,6.94e-05
96,216.819,0.52765,1.21683,0.91176,0.85111,0.98958,0.995,0.84066,0.64761,0.78337,0.98457,5.95e-05,5.95e-05,5.95e-05
97,218.406,0.5384,1.22668,0.9302,0.84745,0.98448,0.995,0.85726,0.63012,0.79442,0.98252,4.96e-05,4.96e-05,4.96e-05
98,220.083,0.52468,1.19159,0.89187,0.85556,0.98282,0.995,0.86824,0.62234,0.77516,0.982,3.97e-05,3.97e-05,3.97e-05
99,221.758,0.52765,1.19055,0.89845,0.85952,0.98285,0.995,0.86823,0.62067,0.78502,0.9835,2.98e-05,2.98e-05,2.98e-05
100,223.386,0.52274,1.21326,0.90971,0.8693,0.99157,0.995,0.87743,0.61804,0.78683,0.98461,1.99e-05,1.99e-05,1.99e-05
